Index,URL
32,https://ddnews.gov.in/national/pm-modi-flags-9-new-vande-bharat-trains-connecting-eleven-states 
33,https://ddnews.gov.in/international/institute-chartered-accountant-india-dubai-chapter-event-celebrates-entrepreneurial 
34,https://ddnews.gov.in/international/we-walk-talk-when-it-comes-south-south-cooperation-eam-jaishankar-affirms 
35,https://ddnews.gov.in/international/sri-lanka%E2%80%99s-pm-dinesh-gunawardena-applauds-india%E2%80%99s-continuous-progress 
36,https://ddnews.gov.in/international/documentary-film-rabindranath-tagore-premiered-bangladesh 
37,https://ddnews.gov.in/international/high-commission-india-sri-lanka-organizes-event-colombo-global-maritime-india-summit 
38,https://ddnews.gov.in/national/pm-modi-inaugurates-international-lawyer%E2%80%99s-conference-new-delhi 
39,https://ddnews.gov.in/international/presidential-election-maldives-approaches-concerns-over-spread-fake-news 
40,https://ddnews.gov.in/sports/luca-marini-tops-clock-dramatic-style-indianoil-grand-prix-india-kicks 
41,https://ddnews.gov.in/international/eam-s-jaishankar-embark-us-visit-will-address-un-general-assembly 
42,https://ddnews.gov.in/national/jal-jeevan-mission-changing-picture-bundelkhand-and-vindhya-region 
43,https://ddnews.gov.in/sports/anurag-thakur-cancels-china-visit-asian-games-after-entry-denied-indian-players 
44,https://ddnews.gov.in/national/pm-modi-inaugurate-bci%E2%80%99s-international-lawyers-conference-2023%E2%80%99-sept-23 
45,https://ddnews.gov.in/national/centre-launches-ai-chatbot-aimed-provide-seamless-assistance-and-support-farmers 
46,https://ddnews.gov.in/international/india-urges-return-path-dialogue-diplomacy-ukraine-crisis 
47,https://ddnews.gov.in/international/global-attention-rohingyas-needs-rapidly-diminishing-sheikh-hasina-0 
48,https://ddnews.gov.in/international/18-indian-seafarers-stranded-yemen-now-safe-aden 
49,https://ddnews.gov.in/international/global-attention-rohingyas-needs-rapidly-diminishing-sheikh-hasina 
50,https://ddnews.gov.in/national/4th-edition-%E2%80%98nadi-utsav%E2%80%99-exhibit-%E2%80%98sanjhi%E2%80%99-based-16-ghats 
51,https://ddnews.gov.in/international/unga-78-g4-foreign-ministers-advocate-urgent-un-security-council-reform 
52,https://ddnews.gov.in/national/after-lok-sabha-rajya-sabha-also-passes-womens-reservation-bill 
53,https://ddnews.gov.in/international/middle-easts-premier-%E2%80%98free-food%E2%80%99-event-wraps-leaving-mark-fb-industry 
54,https://ddnews.gov.in/international/nepal-electricity-authority-exports-power-worth-over-rs-543-billion-india-two-months-%C2%A0 
55,https://ddnews.gov.in/international/sri-lanka%E2%80%99s-transport-and-highways-ministry-has-signed-contract-india%E2%80%99s-ircon 
56,https://ddnews.gov.in/sports/bic-track-gets-thumbs-riders-ahead-exhilarating-indianoil-grand-prix-india 
57,https://ddnews.gov.in/sports/motogp-riders-experience-indias-vibrant-culture-cricket-ahead-indianoil-grand-prix-india 
58,https://ddnews.gov.in/national/indian-navy-proposes-2nd-aircraft-carrier-bolster-self-reliance-defence 
59,https://ddnews.gov.in/national/census-delimitation-will-make-womens-reservation-bill-more-effective-meghwal 
60,https://ddnews.gov.in/international/pakistan-hold-national-election-january-2024 
61,https://ddnews.gov.in/sports/india-australia-begin-world-cup-dress-rehearsal-3-match-odi-series-starting-tomorrow 
62,https://ddnews.gov.in/international/un-must-lead-example-bring-women-leadership-position-sheikh-hasina 
63,https://ddnews.gov.in/national/long-lost-wild-relative-ayurvedic-therapeutic-plant-chopchini-rediscovered-arunachal 
64,https://ddnews.gov.in/international/india-usa-co-host-indo-pacific-armies-chiefs-conference-new-delhi 
65,https://ddnews.gov.in/international/india-global-forum-and-world-governments-summit-launch-emerging-economies-programme-0 
66,https://ddnews.gov.in/international/haiti-kenya-set-diplomatic-ties 
67,https://ddnews.gov.in/international/future-food-forum-2023-puts-india-and-uae-spotlight-focusing-food-security-and-0 
68,https://ddnews.gov.in/international/emirati-astronaut-sultan-al-neyadi-returns-home-after-historic-space-mission 
69,https://ddnews.gov.in/national/pm-modi-thanks-mps-declares-passage-women%E2%80%99s-reservation-bill-ls-%E2%80%98golden-moment%E2%80%99 
70,https://ddnews.gov.in/international/collaborative-efforts-between-india-and-uae-essential-efficient-food-logistics-and 
71,https://ddnews.gov.in/international/world-leaders-un-general-assembly-call-urgent-security-council-reform 
72,https://ddnews.gov.in/sports/icc-world-cup-2023-adidas-unveils-new-team-india-jersey-tricolour-strips 
73,https://ddnews.gov.in/sci-tech/now-centre-has-come-out-new-set-national-awards-science-tech-innovation 
74,https://ddnews.gov.in/national/pm-modi-lay-foundation-stone-international-cricket-stadium-varanasi 
75,https://ddnews.gov.in/international/pm-modi-invited-us-president-joe-biden-be-republic-day-chief-guest-eric-garcetti 
76,https://ddnews.gov.in/sports/asian-games-2023-indian-men%E2%80%99s-volleyball-team-shocks-south-korea-advances-knockout-round 
77,https://ddnews.gov.in/international/india-global-forum-and-world-governments-summit-launch-emerging-economies-programme 
78,https://ddnews.gov.in/international/nepal-celebrates-ninth-constitution-day-today 
79,https://ddnews.gov.in/international/hilsa-fishing-banned-during-breeding-season-bangladesh 
80,https://ddnews.gov.in/international/ins-nireekshak-successfully-conducts-mixed-gas-diving-training-sessions-part-sln-divex 
81,https://ddnews.gov.in/international/adb-predicts-65-cent-gdp-growth-bangladesh-fy-2024 
